s,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5"
 2.2012143E+002, 3.8013449E+001, 1.3306468E+002, 2.9511093E+001, 2.9407745E+002, 2.0247447E+001, 1.9974044E+001
 2.2516419E+002, 3.6980125E+001, 1.5144031E+002, 2.9423299E+001, 3.5423180E+002, 2.0175935E+001, 1.9950411E+001
 2.3003246E+002, 3.7018057E+001, 1.4656930E+002, 2.9329554E+001, 2.9744641E+002, 2.0100151E+001, 1.9965177E+001
 2.3519247E+002, 3.7758710E+001, 1.0828284E+002, 2.9266886E+001, 3.0108889E+002, 2.0044043E+001, 2.0012593E+001
 2.4015898E+002, 3.7645661E+001, 1.0218396E+002, 2.9242588E+001, 3.0382473E+002, 2.0005125E+001, 2.0065501E+001
 2.4519645E+002, 3.6803177E+001, 1.1040733E+002, 2.9232282E+001, 3.2113629E+002, 1.9976404E+001, 2.0098968E+001
 2.5000749E+002, 3.6201563E+001, 1.4386174E+002, 2.9209776E+001, 3.5489841E+002, 1.9956077E+001, 2.0107524E+001
 2.5519002E+002, 3.5490194E+001, 1.5185149E+002, 2.9141452E+001, 3.1074120E+002, 1.9943265E+001, 2.0104768E+001
 2.6001549E+002, 3.5593374E+001, 1.4747605E+002, 2.9069282E+001, 3.4012631E+002, 1.9935431E+001, 2.0096120E+001
 2.6522418E+002, 3.8477451E+001, 1.5922009E+002, 2.8972447E+001, 3.3905943E+002, 1.9929976E+001, 2.0081416E+001
 2.7001677E+002, 4.0333964E+001, 1.4222160E+002, 2.8873193E+001, 2.9117168E+002, 1.9925563E+001, 2.0058454E+001
 2.7520411E+002, 3.9304352E+001, 1.1928746E+002, 2.8734145E+001, 2.6798877E+002, 1.9922384E+001, 2.0027871E+001
 2.8002703E+002, 3.7850360E+001, 9.8320840E+001, 2.8556152E+001, 3.1783441E+002, 1.9920153E+001, 1.9990647E+001
 2.8518840E+002, 3.7728596E+001, 1.1627261E+002, 2.8426901E+001, 2.6112123E+002, 1.9918729E+001, 1.9945102E+001
 2.9025398E+002, 3.8323022E+001, 1.2248532E+002, 2.8306405E+001, 3.3499254E+002, 1.9919335E+001, 1.9902478E+001
 2.9500151E+002, 3.8575607E+001, 1.5024985E+002, 2.8202294E+001, 3.3000147E+002, 1.9922244E+001, 1.9878355E+001
 3.0004788E+002, 3.7099104E+001, 1.0149312E+002, 2.8110494E+001, 3.5579208E+002, 1.9930054E+001, 1.9876211E+001
 3.0501514E+002, 3.6536382E+001, 1.0685840E+002, 2.8048416E+001, 2.6195682E+002, 1.9943416E+001, 1.9892508E+001
 3.1004052E+002, 3.7176276E+001, 1.3796877E+002, 2.8012929E+001, 3.2242775E+002, 1.9961694E+001, 1.9918954E+001
 3.1514041E+002, 3.8497427E+001, 1.0413849E+002, 2.7945954E+001, 3.1640432E+002, 1.9984810E+001, 1.9949714E+001
 3.2003555E+002, 3.9787683E+001, 1.1832503E+002, 2.7840842E+001, 3.0236346E+002, 2.0006652E+001, 1.9976642E+001
 3.2507886E+002, 3.9600661E+001, 9.2227508E+001, 2.7756050E+001, 2.6296196E+002, 2.0024084E+001, 1.9994483E+001
