s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3
 2.8214212E+002, 2.2114982E+003, 0.0000000E+000,-1.3827914E+003,-2.6583567E+000,-7.4754259E+002,-1.4311813E-001, 3.8598601E+001, 0.0000000E+000, 1.1330792E+002, 1.1696128E+002, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.9473815E+000, 1.5565078E+004,-5.7512243E+000
 2.8809659E+002, 2.1916343E+003, 0.0000000E+000,-1.4518123E+003, 1.0510828E+001,-7.4200025E+002,-1.4483392E-001, 4.6091722E+000, 0.0000000E+000, 1.2980065E+001, 1.2796909E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.9814044E+000, 1.5572275E+004,-5.7939473E+000
 2.9408398E+002, 2.1900946E+003, 0.0000000E+000,-1.4187018E+003, 1.7723677E+001,-7.3465077E+002,-1.3998689E-001, 1.9625081E+001, 0.0000000E+000, 6.7959983E+001, 7.3950831E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0214624E+000, 1.5599101E+004,-5.8373191E+000
 3.0004788E+002, 2.2052389E+003, 0.0000000E+000,-1.4217163E+003,-9.9736131E+000,-7.3604509E+002,-1.3951015E-001, 2.5051076E+001, 0.0000000E+000, 6.6887372E+001, 6.2415503E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0668898E+000, 1.5635397E+004,-5.8517099E+000
 3.0610361E+002, 2.2048269E+003, 0.0000000E+000,-1.4284437E+003,-2.0965082E+001,-7.4213808E+002,-1.3961780E-001, 2.0915580E+001, 0.0000000E+000, 3.8274203E+001, 3.4055995E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0520830E+000, 1.5666261E+004,-5.8585956E+000
 3.1219238E+002, 2.1986652E+003, 0.0000000E+000,-1.4120494E+003,-2.6345459E+001,-7.4329573E+002,-1.4196858E-001, 2.5028763E+001, 0.0000000E+000, 4.0673463E+001, 4.1861461E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0012733E+000, 1.5701658E+004,-5.8535517E+000
 3.1808084E+002, 2.1981976E+003, 0.0000000E+000,-1.4062399E+003,-3.5750746E+000,-7.3727106E+002,-1.4073265E-001, 2.7564706E+001, 0.0000000E+000, 7.5165745E+001, 7.8535581E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.9510744E+000, 1.5740389E+004,-5.8685809E+000
 3.2418735E+002, 2.2008406E+003, 0.0000000E+000,-1.4250294E+003, 1.8099982E+001,-7.3329398E+002,-1.4113558E-001, 2.1881804E+001, 0.0000000E+000, 8.2815371E+001, 8.2357889E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-3.9900613E+000, 1.5772881E+004,-5.8998263E+000
 3.3012613E+002, 2.2023732E+003, 0.0000000E+000,-1.4421499E+003, 3.3082669E+001,-7.3730939E+002,-1.4137326E-001, 1.4403602E+001, 0.0000000E+000, 7.0754978E+001, 7.0258824E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0298561E+000, 1.5794111E+004,-5.8984356E+000
 3.3610495E+002, 2.1946202E+003, 0.0000000E+000,-1.4955431E+003, 4.8778272E+001,-7.3733443E+002,-1.4112230E-001,-1.0811343E+001, 0.0000000E+000,-7.0449247E+000,-4.3147886E-001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0383176E+000, 1.5777824E+004,-5.8594010E+000
 3.4209186E+002, 2.2002677E+003, 0.0000000E+000,-1.4526248E+003,-1.4717359E+001,-7.4539709E+002,-1.3656913E-001, 7.2366649E+000, 0.0000000E+000,-3.3463518E+000,-5.3714628E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0433602E+000, 1.5787643E+004,-5.8685497E+000
 3.4813641E+002, 2.2063336E+003, 0.0000000E+000,-1.4477737E+003,-3.7225266E+001,-7.5598600E+002,-1.3836561E-001, 9.8854349E+000, 0.0000000E+000,-1.4936505E+001,-2.4904258E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0016713E+000, 1.5804518E+004,-5.8586828E+000
 3.5400546E+002, 2.1962724E+003, 0.0000000E+000,-1.4632826E+003, 9.1984284E+000,-7.4961244E+002,-1.4028539E-001,-5.6645397E-001, 0.0000000E+000,-1.5653799E+001,-8.1308887E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0307739E+000, 1.5802522E+004,-5.8869476E+000
 3.6009637E+002, 2.2016786E+003, 0.0000000E+000,-1.4469475E+003, 6.0253775E+000,-7.4388221E+002,-1.3607168E-001, 1.0479483E+001, 0.0000000E+000, 2.6275796E+001, 2.7217738E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0517636E+000, 1.5817663E+004,-5.8986832E+000
 3.6607159E+002, 2.2031620E+003, 0.0000000E+000,-1.5057367E+003, 3.5029462E+000,-7.3341551E+002,-1.3791831E-001,-7.5484736E+000, 0.0000000E+000,-3.3097410E+001,-4.0173741E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.0867476E+000, 1.5809146E+004,-5.9036197E+000
 3.7212997E+002, 2.1957302E+003, 0.0000000E+000,-1.4851716E+003, 1.2940938E+001,-7.3489074E+002,-1.3226957E-001,-5.0782068E+000, 0.0000000E+000,-2.7131055E+001,-1.6601735E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.1107391E+000, 1.5799784E+004,-5.9179925E+000
 3.7822043E+002, 2.1946105E+003, 0.0000000E+000,-1.4431053E+003,-1.5195369E+001,-7.5224807E+002,-1.3974675E-001, 7.0107132E+000, 0.0000000E+000,-5.1278418E+000,-9.0673475E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.1448067E+000, 1.5810456E+004,-5.9946232E+000
 3.8403906E+002, 2.2008432E+003, 0.0000000E+000,-1.4404117E+003,-1.9109633E+001,-7.5113694E+002,-1.3760322E-001, 1.0875860E+001, 0.0000000E+000,-3.3285890E+000, 9.2323392E-001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.2014220E+000, 1.5824773E+004,-6.0783528E+000
 3.9001471E+002, 2.2060335E+003, 0.0000000E+000,-1.4656780E+003,-7.5904937E+000,-7.4701175E+002,-1.4343229E-001, 3.3853608E+000, 0.0000000E+000,-1.3028640E+001,-1.1004835E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.2553298E+000, 1.5829432E+004,-6.0895586E+000
 3.9607605E+002, 2.1941142E+003, 0.0000000E+000,-1.4939428E+003,-1.3869398E+000,-7.4709479E+002,-1.3679754E-001,-1.2076889E+001, 0.0000000E+000,-5.2645315E+001,-6.0523956E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.2900031E+000, 1.5813433E+004,-6.0564728E+000
 4.0202094E+002, 2.2108838E+003, 0.0000000E+000,-1.4333839E+003,-1.5516743E+001,-7.5871099E+002,-1.3556533E-001, 1.5583046E+001, 0.0000000E+000, 1.2172720E+001, 1.8719672E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.2556086E+000, 1.5833636E+004,-6.0042375E+000
 4.0811020E+002, 2.1952095E+003, 0.0000000E+000,-1.4447489E+003, 1.0223393E+001,-7.4671262E+002,-1.3970985E-001, 6.4168182E+000, 0.0000000E+000, 1.5895930E+001, 2.0248493E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.3182108E+000, 1.5842777E+004,-5.9706718E+000
 4.1403598E+002, 2.1942245E+003, 0.0000000E+000,-1.4856468E+003, 1.4006302E+001,-7.3519149E+002,-1.3863673E-001,-5.0470184E+000, 0.0000000E+000,-1.4311167E+001,-1.7793129E+001, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.3899845E+000, 1.5837234E+004,-5.9767487E+000
 4.2006311E+002, 2.2087496E+003, 0.0000000E+000,-1.4667286E+003, 6.2554233E+000,-7.4662735E+002,-1.3800701E-001, 5.0340487E+000, 0.0000000E+000, 7.6559423E+000, 6.5451255E+000, 0.0000000E+000, 4.9332404E-002, 0.0000000E+000,-4.4424799E+000, 1.5844532E+004,-6.0012565E+000
