s,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6"
 1.9509897E+002, 7.3395096E+001, 1.0361725E+002, 8.1161215E+001, 2.2444741E+002, 6.8322304E+001, 1.3138650E+002, 7.2292834E+001
 2.0017670E+002, 7.4252128E+001, 1.0466255E+002, 8.2046949E+001, 2.6596963E+002, 6.9871884E+001, 1.2743457E+002, 7.2251317E+001
 2.0514219E+002, 7.7122191E+001, 1.0147205E+002, 8.0199559E+001, 2.4547101E+002, 7.0271141E+001, 1.2827562E+002, 7.5741610E+001
 2.1000862E+002, 7.8202898E+001, 1.0169328E+002, 7.6501257E+001, 2.3884327E+002, 7.1322027E+001, 1.3045056E+002, 7.1393725E+001
 2.1511427E+002, 7.9132250E+001, 1.0385142E+002, 8.2528473E+001, 2.5331805E+002, 7.3453377E+001, 1.2476508E+002, 6.8493987E+001
 2.2015483E+002, 7.9131678E+001, 1.0533461E+002, 8.9604843E+001, 2.5144185E+002, 7.3545510E+001, 1.2179082E+002, 6.7452517E+001
 2.2520277E+002, 7.6548555E+001, 1.0470025E+002, 8.7880522E+001, 2.5811360E+002, 7.2403670E+001, 1.2262473E+002, 7.2324289E+001
 2.3022064E+002, 7.8846607E+001, 1.0276951E+002, 8.2059814E+001, 2.4931728E+002, 7.1603319E+001, 1.2394789E+002, 7.1594924E+001
 2.3501972E+002, 7.8828104E+001, 9.9637977E+001, 8.6055854E+001, 2.6572917E+002, 7.1662589E+001, 1.2482082E+002, 7.0496146E+001
 2.4014971E+002, 7.8105525E+001, 9.3231203E+001, 8.8203025E+001, 2.7441640E+002, 6.8016899E+001, 1.1805205E+002, 7.1167732E+001
 2.4512950E+002, 7.6427516E+001, 9.8697553E+001, 8.8127392E+001, 2.7595940E+002, 7.4077582E+001, 1.1936551E+002, 7.8769268E+001
 2.5018963E+002, 8.0260850E+001, 1.0337613E+002, 8.4926960E+001, 2.5986518E+002, 7.9568462E+001, 1.2441700E+002, 7.5192555E+001
 2.5513812E+002, 7.8257052E+001, 1.0406677E+002, 8.7844838E+001, 2.8147561E+002, 7.5905263E+001, 1.2147188E+002, 7.0817061E+001
 2.6001486E+002, 7.8015526E+001, 9.8071248E+001, 9.0600322E+001, 2.5763490E+002, 7.4601528E+001, 1.2060262E+002, 7.7678944E+001
 2.6520343E+002, 8.0274302E+001, 9.6625130E+001, 8.4960730E+001, 2.5935850E+002, 7.7541218E+001, 1.3085373E+002, 7.8102301E+001
 2.7004176E+002, 8.2272644E+001, 9.9459555E+001, 8.2559713E+001, 2.6830162E+002, 7.6596977E+001, 1.2588320E+002, 7.3619975E+001
 2.7514475E+002, 8.5935510E+001, 1.0660220E+002, 8.6417476E+001, 2.7290118E+002, 7.7080678E+001, 1.2866667E+002, 7.0353368E+001
 2.8016175E+002, 7.8995325E+001, 1.0827705E+002, 8.4103015E+001, 2.7951396E+002, 7.6615416E+001, 1.4262616E+002, 7.8817932E+001
 2.8525052E+002, 7.6879048E+001, 9.0204268E+001, 8.5627701E+001, 3.0142389E+002, 7.1359822E+001, 1.2057180E+002, 8.0631966E+001
 2.9004153E+002, 8.2665553E+001, 1.0719788E+002, 9.3096643E+001, 3.2743388E+002, 6.8995148E+001, 1.2062977E+002, 8.2595075E+001
 2.9518787E+002, 8.1066803E+001, 1.0764552E+002, 8.9343177E+001, 3.0986082E+002, 7.4558473E+001, 1.3919581E+002, 8.3256785E+001
 3.0009157E+002, 8.2901772E+001, 1.0243248E+002, 8.7215166E+001, 2.4113619E+002, 7.4478342E+001, 1.4327134E+002, 7.5298220E+001
 3.0519056E+002, 8.3860073E+001, 1.0039302E+002, 8.9138862E+001, 2.5210051E+002, 7.3597814E+001, 1.3893022E+002, 7.1872644E+001
 3.1002008E+002, 8.2322005E+001, 9.7460913E+001, 8.8601314E+001, 2.6935792E+002, 7.6168659E+001, 1.3701094E+002, 7.4637381E+001
 3.1520061E+002, 8.1707171E+001, 9.9857659E+001, 8.5143508E+001, 2.6253201E+002, 7.7359449E+001, 1.4123168E+002, 7.3724803E+001
 3.2018848E+002, 7.9666968E+001, 1.0283115E+002, 8.3770908E+001, 2.3872059E+002, 7.6218353E+001, 1.4291484E+002, 8.0402504E+001
 3.2503157E+002, 7.4764737E+001, 9.3315593E+001, 8.5949757E+001, 2.2369565E+002, 6.8457911E+001, 1.4854933E+002, 8.7565610E+001
 3.3007832E+002, 7.9698001E+001, 9.6869043E+001, 8.8936774E+001, 2.0004895E+002, 7.1707214E+001, 1.4586923E+002, 7.6546621E+001
 3.3504916E+002, 8.4122362E+001, 1.0805289E+002, 9.0634953E+001, 2.2315132E+002, 7.2776120E+001, 1.3896124E+002, 7.1323442E+001
 3.4015705E+002, 8.0682867E+001, 1.0522367E+002, 8.6338778E+001, 2.4541657E+002, 7.4018322E+001, 1.3339802E+002, 7.9689056E+001
