s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.8214673E+002, 1.8054369E+003, 0.0000000E+000,-1.0485894E+003, 3.0392848E+000,-7.2172248E+002,-1.2022835E-001, 2.4412828E+001, 0.0000000E+000, 6.8983191E+001, 6.2456974E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.1939245E+004
 2.8806964E+002, 1.7853469E+003, 0.0000000E+000,-1.0716918E+003,-2.6433413E+001,-7.2532174E+002,-1.1719901E-001, 5.4251927E+000, 0.0000000E+000,-1.8820927E+001,-3.2792060E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.1966943E+004
 2.9415503E+002, 1.8086942E+003, 0.0000000E+000,-1.0865131E+003, 3.8489284E+000,-7.2176794E+002,-1.2163829E-001, 8.4549626E+000, 0.0000000E+000, 1.4526136E+001, 1.2595435E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2005132E+004
 3.0009155E+002, 1.8058867E+003, 0.0000000E+000,-1.0696226E+003, 3.5075873E+000,-7.1710788E+002,-1.2303435E-001, 1.6332163E+001, 0.0000000E+000, 4.6460719E+001, 3.8872942E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2083586E+004
 3.0602985E+002, 1.7950086E+003, 0.0000000E+000,-1.0619018E+003,-1.0459323E+001,-7.1474672E+002,-1.2168816E-001, 1.5088600E+001, 0.0000000E+000, 2.4876922E+001, 2.2867593E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2150392E+004
 3.1214041E+002, 1.7960810E+003, 0.0000000E+000,-1.0879667E+003, 3.7438096E+000,-7.1776370E+002,-1.2153836E-001, 5.4019632E+000, 0.0000000E+000, 3.8495759E+000,-6.2525755E-001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2175313E+004
 3.1816547E+002, 1.7990540E+003, 0.0000000E+000,-1.0616127E+003, 5.6652786E+001,-7.0352560E+002,-1.2116961E-001, 2.1365784E+001, 0.0000000E+000, 1.2823425E+002, 1.1181309E+002, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2278579E+004
 3.2408041E+002, 1.7969773E+003, 0.0000000E+000,-1.0867005E+003,-5.3214156E+001,-7.1788458E+002,-1.2199001E-001, 7.1609665E+000, 0.0000000E+000,-4.6210436E+001,-5.3783036E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2312539E+004
 3.3007831E+002, 1.8022846E+003, 0.0000000E+000,-1.0795573E+003, 1.8411279E+000,-7.1231513E+002,-1.2104587E-001, 1.1539623E+001, 0.0000000E+000, 2.2950291E+001, 2.3671808E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2365637E+004
 3.3606235E+002, 1.7981962E+003, 0.0000000E+000,-1.0718782E+003,-2.3807546E+001,-7.0980783E+002,-1.2158582E-001, 1.5272866E+001, 0.0000000E+000, 2.6704047E+001, 7.8538902E+000, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2435105E+004
 3.4210425E+002, 1.8057881E+003, 0.0000000E+000,-1.0980704E+003, 2.2008865E+001,-7.0204798E+002,-1.2200544E-001, 1.0148005E+001, 0.0000000E+000, 3.6158655E+001, 3.7704535E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2482397E+004
 3.4810492E+002, 1.8055249E+003, 0.0000000E+000,-1.0835667E+003,-1.2742139E+001,-7.0384401E+002,-1.2197609E-001, 1.4062086E+001, 0.0000000E+000, 2.8435917E+001, 1.9312141E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2548739E+004
 3.5405679E+002, 1.7950290E+003, 0.0000000E+000,-1.0826600E+003, 1.7755321E+000,-7.0760401E+002,-1.2043481E-001, 1.0081845E+001, 0.0000000E+000, 2.1222704E+001, 1.6501902E+001, 0.0000000E+000, 4.0362876E-002, 0.0000000E+000, 3.2596777E+004
