s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 4.1417126E+002, 1.0571396E+003, 0.0000000E+000,-1.0530550E+003, 3.7887436E+001,-6.4222318E+002,-2.5167886E-001,-2.1128812E+002, 0.0000000E+000,-7.6657282E+002,-8.1179092E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.4156434E+004
 4.2025256E+002, 5.0202336E+002, 0.0000000E+000,-8.8462018E+002, 4.9102505E+001,-5.8832201E+002,-2.4306720E-001,-3.4580083E+002, 0.0000000E+000,-1.2673619E+003,-1.2678602E+003, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2985550E+004
 4.2609637E+002, 9.0134149E+002, 0.0000000E+000,-9.3064421E+002,-1.4581425E+001,-5.3864066E+002,-2.2543976E-001,-2.1170037E+002, 0.0000000E+000,-8.8245014E+002,-7.9445062E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2245699E+004
 4.3200769E+002, 1.7581576E+003, 0.0000000E+000,-1.0950345E+003,-4.5894321E+001,-5.2804892E+002,-2.3122459E-001, 6.8772029E+001, 0.0000000E+000, 2.3607143E+002, 1.5772063E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2488268E+004
 4.3821548E+002, 1.6851671E+003, 0.0000000E+000,-1.0705258E+003, 6.3462132E+000,-5.5098794E+002,-2.3553162E-001, 4.0592106E+001, 0.0000000E+000, 1.3708443E+002, 1.1035605E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2633307E+004
 4.4425598E+002, 1.2767081E+003, 0.0000000E+000,-1.0349210E+003, 1.4337538E+001,-5.3974279E+002,-2.2618293E-001,-9.2151182E+001, 0.0000000E+000,-3.5583297E+002,-3.7599554E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2330808E+004
 4.5016354E+002, 1.2061748E+003, 0.0000000E+000,-9.5419788E+002, 5.9312749E+001,-5.2411822E+002,-2.3197085E-001,-8.8273469E+001, 0.0000000E+000,-3.2793937E+002,-3.0133397E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2019298E+004
 4.5610876E+002, 1.9214611E+003, 0.0000000E+000,-1.1638259E+003,-3.8861914E+001,-5.2836691E+002,-2.2259825E-001, 1.0015250E+002, 0.0000000E+000, 2.9571081E+002, 2.9033628E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2340289E+004
 4.6218488E+002, 2.0052864E+003, 0.0000000E+000,-1.2887594E+003,-3.0515222E+000,-5.6154674E+002,-2.5438647E-001, 7.7023357E+001, 0.0000000E+000, 2.7416965E+002, 2.2869775E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.2616499E+004
 4.6803452E+002, 1.0171635E+003, 0.0000000E+000,-1.0516989E+003, 4.4557416E+001,-5.5694833E+002,-2.0954221E-001,-2.0332180E+002, 0.0000000E+000,-7.5225592E+002,-7.5045761E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.1955104E+004
 4.7411777E+002, 9.8726910E+002, 0.0000000E+000,-9.3560333E+002, 9.4071124E+000,-5.2111035E+002,-2.1724876E-001,-1.5759455E+002, 0.0000000E+000,-6.1591646E+002,-6.1784926E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.1414306E+004
 4.8022025E+002, 1.0743957E+003, 0.0000000E+000,-8.5935897E+002,-3.0143760E+001,-4.9338042E+002,-2.0955888E-001,-8.8664744E+001, 0.0000000E+000,-3.8013622E+002,-3.9736174E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.1107740E+004
 4.8602289E+002, 1.4097023E+003, 0.0000000E+000,-1.0107947E+003,-5.7546095E+000,-4.8259770E+002,-2.0654080E-001,-1.5917059E+001, 0.0000000E+000,-8.9570319E+001,-1.0556837E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.1054051E+004
 4.9203442E+002, 1.2726557E+003, 0.0000000E+000,-9.5644769E+002, 9.8708343E+000,-4.8164391E+002,-2.0414835E-001,-4.6738585E+001, 0.0000000E+000,-1.8006776E+002,-2.0250777E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.0901856E+004
 4.9821335E+002, 1.3468476E+003, 0.0000000E+000,-1.0070820E+003, 6.2720141E+000,-4.7004548E+002,-2.1597531E-001,-3.5908592E+001, 0.0000000E+000,-1.6755621E+002,-1.6013243E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.0767727E+004
 5.0401212E+002, 9.3827789E+002, 0.0000000E+000,-8.2171232E+002,-1.2557202E+001,-4.6414829E+002,-2.0242381E-001,-1.1428829E+002, 0.0000000E+000,-4.5092638E+002,-4.7463064E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.0400311E+004
 5.1017725E+002, 1.1058846E+003, 0.0000000E+000,-8.4671646E+002,-3.8655066E+000,-4.4489039E+002,-2.0523026E-001,-5.1724864E+001, 0.0000000E+000,-2.0854165E+002,-2.4151781E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.0232396E+004
 5.1622845E+002, 1.1841822E+003, 0.0000000E+000,-8.4807098E+002, 4.4641230E-001,-4.3920782E+002,-2.0448080E-001,-2.8010618E+001, 0.0000000E+000,-1.3716001E+002,-1.3086529E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 2.0125669E+004
 5.2222302E+002, 1.0246771E+003, 0.0000000E+000,-8.1460117E+002,-2.8729525E+001,-4.2964004E+002,-2.0116743E-001,-6.6932726E+001, 0.0000000E+000,-2.9540926E+002,-3.1542752E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9902718E+004
 5.2812708E+002, 1.2111592E+003, 0.0000000E+000,-8.6548821E+002, 6.6366228E+000,-4.2171345E+002,-2.0967451E-001,-1.3367550E+001, 0.0000000E+000,-6.8241948E+001,-8.2983080E+001, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9859578E+004
 5.3407837E+002, 1.2648506E+003, 0.0000000E+000,-8.5268235E+002,-1.6105886E+001,-4.2164009E+002,-2.1763465E-001, 1.0280961E+001, 0.0000000E+000,-5.0965722E+000,-1.5514424E+001, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9891996E+004
 5.4014874E+002, 9.2669193E+002, 0.0000000E+000,-7.9070154E+002, 1.6309121E+001,-4.2012115E+002,-2.1146008E-001,-9.0745254E+001, 0.0000000E+000,-3.4636149E+002,-3.5877836E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9587571E+004
 5.4602368E+002, 1.1572979E+003, 0.0000000E+000,-8.4743344E+002, 1.5276756E+001,-4.0871093E+002,-2.0315893E-001,-2.3760726E+001, 0.0000000E+000,-1.1295663E+002,-1.0753362E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9501244E+004
 5.5220996E+002, 9.5277367E+002, 0.0000000E+000,-7.3947831E+002, 5.8610060E-001,-4.0608634E+002,-2.0744583E-001,-5.3947848E+001, 0.0000000E+000,-2.1722913E+002,-2.4636018E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9325681E+004
 5.5805249E+002, 1.1211640E+003, 0.0000000E+000,-7.8449904E+002,-3.3443417E-001,-3.9401209E+002,-2.1155565E-001,-1.0990364E+001, 0.0000000E+000,-7.9542145E+001,-6.8883512E+001, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9278800E+004
 5.6409882E+002, 9.5970254E+002, 0.0000000E+000,-7.5914650E+002,-1.2260447E+001,-3.9175454E+002,-2.0419924E-001,-5.2863973E+001, 0.0000000E+000,-2.1501565E+002,-2.5652712E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.9113439E+004
 5.7025092E+002, 8.1178022E+002, 0.0000000E+000,-6.8777823E+002, 1.5282366E+001,-3.7878252E+002,-2.0331859E-001,-8.1625074E+001, 0.0000000E+000,-3.1382568E+002,-3.2132656E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8830316E+004
 5.7607300E+002, 1.0400439E+003, 0.0000000E+000,-7.7455305E+002,-9.8675332E+000,-3.7116882E+002,-2.0155813E-001,-2.2200677E+001, 0.0000000E+000,-1.1919020E+002,-1.3794778E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8760306E+004
 5.8218707E+002, 7.3276639E+002, 0.0000000E+000,-6.0642355E+002,-1.9781274E+000,-3.6274730E+002,-2.0215749E-001,-7.8279179E+001, 0.0000000E+000,-3.2930168E+002,-3.1686392E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8479947E+004
 5.8828851E+002, 1.0307026E+003, 0.0000000E+000,-7.5704069E+002,-3.5872047E+000,-3.5256378E+002,-2.0551286E-001,-1.0306660E+001, 0.0000000E+000,-6.3842590E+001,-9.3001246E+001, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8454704E+004
 5.9404340E+002, 6.8700865E+002, 0.0000000E+000,-5.8664961E+002, 1.2912171E+001,-3.5114025E+002,-1.9817108E-001,-7.6700985E+001, 0.0000000E+000,-2.9078557E+002,-3.1476819E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.8216889E+004
 6.0000000E+002, 6.2883292E+002, 0.0000000E+000,-6.9647712E+002, 3.1794349E+001,-3.3395913E+002,-1.8871486E-001,-1.3150281E+002, 0.0000000E+000,-4.9867022E+002,-5.0150049E+002, 0.0000000E+000, 1.2108863E-001, 0.0000000E+000, 1.7777709E+004
